,title,body
0,Exceeding my expectation. Go for it.,"About the phoneApple phone without a second delay, I would say it is better than all android phones I have used. The phone is like water, it flows in a way you want and shaping in your way. In a best way possible, the phone is designed to only show what the user wants and eliminating unnecessary ads, features that I have seen in android.Why it is better than Android?You pay too much money for Apple products, obviously you experience the features, physical components , camera lens etc. Apart from basic things, you can also enjoy the best applications available in app store. If you are a developer you might know the app store policy for application publish and their security posture towards handling payment apps etc. They publish best application and the way the apps, its modules switches is just flawless. Due to the so called strict policy of privacy program with Apple products, iPhone can pop up a box in your screen if any apps wants to track your activity with other applications. +1 respect for apple to show such concern with user.Apple phones are same ? like 13 vs 14The reason 14 is same as 13 may be business practice followed from 11th edition. But please note that iPhone making changes internally like physical components (small change in battery performance, lens in 14 edition), additional features but that may not satisfy you to buy 14 edition. If you do not find ""the very few changes"" interesting in 14,  go for 13. Because physical and even cameras are not visually very much different in 13 vs 14 comparison. Also you get 13 for cheap :)14 is just added features but that is not for daily use, the features real time use is rare case. But the best part is there is no extra cost between 13 vs 14 prices (except extra 10k slash)Concern you must have.Apple is not giving chargers and their silicon cases are very expensive (but very good in touch and scratch friendly in back due to silk layer). This is an issue for sure. You have to buy charger not coming with USB C and claiming that you help carbon footprint, understandable but not customer friendly business model. Even after the purchase I had to spend at least 7k for charger and case.Apple care.I am not buying it, I pay for phone which is already expensive for this premium and apple care does have strict policy that if you understand that is waste. Instead I find a private insurance to make things better.
Read more"
1,It's an iPhone!,"My transition from Android to iOS was a little bumpy, but all is well now. Physically the device is a joy. Battery life with normal usage is more than a day and a half, which is great. There are features from Android that I miss now, hopefully I'll get over those soon.This phone promises to last long, which needs to be tested.
Read more"
2,Good,"Battery life isn’t great just as my android phone. I am a heavy user. Camera and video quality is beautiful. Processing anything on the phone is very fast. Good!!
Read more"
3,Iphone 13 and 14 are not same. 14 is better,"Packaging from amazon not upto the mark. Flipkart does extra packaging to protect the product for rs 50-60 extra. This iphone was sent from amazon like a normal parcel, no bubble wrap even.If you like a bigger phone please buy iPhone 14plus. Iphone 14 regular one is small and handy 6.1 inches. Battery backup is amazing and also charging is fast. The last time i used iPhone was iphone 6 which had very bad battery backup and also slow charging.Also iphone 13 and 14 are not same.14 has more ram, better battery backup and 4k video recording which 13 does not have.So 14 would be a better buyAlso you will get one year more of updates.I got this phone in sale for 66k on march 2023. Can be more cheaper during September-october.
Read more"
4,A must update if you're using iPhone 11 or earlier model,"A perfect update if you're using iPhone 11 or earlier model. Absolutely fabulous performance as expected with A15 bionic chip. As promised, night camera has a big leap. All day battery life. Go for it!!!
Read more"
5,Nice,"Nice
Read more"
6,smile,"all good
Read more"
7,"Pathetic exchange, Average phone","Planned for Amazon exchange and thought I will try iPhone again after the iPhone 2 disaster.Amazon exchange turned out to be a faux. The delivery guy seemed to be pre determined in not accepting my old Samsung phone. He wanted me to remove the almost perfect tempered glass to check the screen. He entered incorrect IMEI number of my phone in his mobile said that the system shows wrong IMEI and cannot do exchange. He wanted to pay the difference or return delivery. Ended up paying extra amount and replace my tempered glass.I phone looks great from outside and UI is flawless.Pros:Super smooth touchGreat looks from outsideNo junk apps preinstalledGood anti tracking in Safari browserSafe message appWindows and other corporate apps work betterCons:Average photosPoor selfiesGo back function is on the top of the screen which is a painPoor file managementNo option to add memory card and iCloud upgrade comes with a priceFile transfer by Bluetooth never worksOverall an average experience
Read more"
8,Exceeding my expectation. Go for it.,"About the phoneApple phone without a second delay, I would say it is better than all android phones I have used. The phone is like water, it flows in a way you want and shaping in your way. In a best way possible, the phone is designed to only show what the user wants and eliminating unnecessary ads, features that I have seen in android.Why it is better than Android?You pay too much money for Apple products, obviously you experience the features, physical components , camera lens etc. Apart from basic things, you can also enjoy the best applications available in app store. If you are a developer you might know the app store policy for application publish and their security posture towards handling payment apps etc. They publish best application and the way the apps, its modules switches is just flawless. Due to the so called strict policy of privacy program with Apple products, iPhone can pop up a box in your screen if any apps wants to track your activity with other applications. +1 respect for apple to show such concern with user.Apple phones are same ? like 13 vs 14The reason 14 is same as 13 may be business practice followed from 11th edition. But please note that iPhone making changes internally like physical components (small change in battery performance, lens in 14 edition), additional features but that may not satisfy you to buy 14 edition. If you do not find ""the very few changes"" interesting in 14,  go for 13. Because physical and even cameras are not visually very much different in 13 vs 14 comparison. Also you get 13 for cheap :)14 is just added features but that is not for daily use, the features real time use is rare case. But the best part is there is no extra cost between 13 vs 14 prices (except extra 10k slash)Concern you must have.Apple is not giving chargers and their silicon cases are very expensive (but very good in touch and scratch friendly in back due to silk layer). This is an issue for sure. You have to buy charger not coming with USB C and claiming that you help carbon footprint, understandable but not customer friendly business model. Even after the purchase I had to spend at least 7k for charger and case.Apple care.I am not buying it, I pay for phone which is already expensive for this premium and apple care does have strict policy that if you understand that is waste. Instead I find a private insurance to make things better.
Read more"
9,It's an iPhone!,"My transition from Android to iOS was a little bumpy, but all is well now. Physically the device is a joy. Battery life with normal usage is more than a day and a half, which is great. There are features from Android that I miss now, hopefully I'll get over those soon.This phone promises to last long, which needs to be tested.
Read more"
